name,district_name,address,priceRange,lat,lon,tags,website,phone,openingHours,featuredDish,city,photoUrl
Cevichería Lima,Eixample,Carrer de Provença 123,€€,41.3925,2.1639,ceviche,https://ejemplo.com,+34 600 000 000,L-D 12:00–23:00,Ceviche clásico,Barcelona,
Anticuchos Don Paco,Gràcia,Carrer Verdi 88,€€,41.4068,2.1520,anticuchos,,+34 600 000 001,M-S 13:00–23:30,Anticuchos de corazón,Barcelona,
La Chifa de Barrio,Sants-Montjuïc,Carrer de Sants 230,€,41.3721,2.1345,chifa,,+34 600 000 002,L-V 12:30–16:00,Arroz chaufa,Barcelona,
Criolla y Ají,Sant Martí,Av. Diagonal 245,€€,41.4077,2.1955,criolla,,+34 600 000 003,L-D 12:00–22:30,Ají de gallina,Barcelona,
Nikkei Bcn,Eixample,Roger de Llúria 12,€€€,41.3940,2.1690,nikkei,,+34 600 000 004,M-D 13:00–23:00,Rolls nikkei,Barcelona,
El Rincón Peruano,Ciutat Vella,Carrer d'Avinyó 35,€,41.3801,2.1759,menu-del-dia,,+34 600 000 005,L-S 12:00–22:00,Lomo saltado,Barcelona,
Parrilla Inka,Sants-Montjuïc,Gran Via 180,€€,41.3735,2.1540,parrilla,,+34 600 000 006,V-D 13:00–23:45,Costillas a la brasa,Barcelona,
Causa & Sabor,Gràcia,Carrer de l'Or 15,€,41.4049,2.1588,postres,,+34 600 000 007,L-D 12:00–21:30,Causa limeña,Barcelona,
Picantería Andina,Sant Martí,Carrer de Llull 200,€€,41.4042,2.2050,picante,,+34 600 000 008,M-D 12:30–22:30,Rocoto relleno,Barcelona,
Dulce Perú,Eixample,Carrer de Mallorca 290,€,41.3912,2.1649,postres,,+34 600 000 009,S-D 16:00–22:00,Suspiro a la limeña,Barcelona,
Ceviche Bar BCN,Ciutat Vella,Plaça Reial 3,€€,41.3807,2.1751,ceviche,,+34 600 000 010,L-D 12:00–23:00,Ceviche mixto,Barcelona,
Andes Veg,Gràcia,Carrer de Rabassa 21,€,41.4044,2.1602,veg-friendly,,+34 600 000 011,L-V 12:00–16:00,Quinua salteada,Barcelona,
Cevichería Lima Sucursal 2,Eixample,Carrer de Provença 123 bis 2,€€,41.390599,2.162243,ceviche,https://ejemplo.com,+34 600 000 000,L-D 12:00–23:00,Ceviche clásico,Barcelona,
Anticuchos Don Paco Sucursal 2,Gràcia,Carrer Verdi 88 bis 2,€€,41.409602,2.149069,anticuchos,,+34 600 000 001,M-S 13:00–23:30,Anticuchos de corazón,Barcelona,
La Chifa de Barrio Sucursal 2,Sants-Montjuïc,Carrer de Sants 230 bis 2,€,41.370593,2.132805,chifa,,+34 600 000 002,L-V 12:30–16:00,Arroz chaufa,Barcelona,
Criolla y Ají Sucursal 2,Sant Martí,Av. Diagonal 245 bis 2,€€,41.404881,2.198314,criolla,,+34 600 000 003,L-D 12:00–22:30,Ají de gallina,Barcelona,
Nikkei Bcn Sucursal 2,Eixample,Roger de Llúria 12 bis 2,€€€,41.394446,2.170807,nikkei,,+34 600 000 004,M-D 13:00–23:00,Rolls nikkei,Barcelona,
El Rincón Peruano Sucursal 2,Ciutat Vella,Carrer d'Avinyó 35 bis 2,€,41.380476,2.173953,menu-del-dia,,+34 600 000 005,L-S 12:00–22:00,Lomo saltado,Barcelona,
Parrilla Inka Sucursal 2,Sants-Montjuïc,Gran Via 180 bis 2,€€,41.372575,2.153392,parrilla,,+34 600 000 006,V-D 13:00–23:45,Costillas a la brasa,Barcelona,
Causa & Sabor Sucursal 2,Gràcia,Carrer de l'Or 15 bis 2,€,41.407970,2.160147,postres,,+34 600 000 007,L-D 12:00–21:30,Causa limeña,Barcelona,
Picantería Andina Sucursal 2,Sant Martí,Carrer de Llull 200 bis 2,€€,41.403423,2.203364,picante,,+34 600 000 008,M-D 12:30–22:30,Rocoto relleno,Barcelona,
Dulce Perú Sucursal 2,Eixample,Carrer de Mallorca 290 bis 2,€,41.390372,2.168645,postres,,+34 600 000 009,S-D 16:00–22:00,Suspiro a la limeña,Barcelona,
Ceviche Bar BCN Sucursal 2,Ciutat Vella,Plaça Reial 3 bis 2,€€,41.379476,2.171370,ceviche,,+34 600 000 010,L-D 12:00–23:00,Ceviche mixto,Barcelona,
Andes Veg Sucursal 2,Gràcia,Carrer de Rabassa 21 bis 2,€,41.408068,2.160121,veg-friendly,,+34 600 000 011,L-V 12:00–16:00,Quinua salteada,Barcelona,
Cevichería Lima Sucursal 3,Eixample,Carrer de Provença 123 bis 3,€€,41.393233,2.162809,ceviche,https://ejemplo.com,+34 600 000 000,L-D 12:00–23:00,Ceviche clásico,Barcelona,
Anticuchos Don Paco Sucursal 3,Gràcia,Carrer Verdi 88 bis 3,€€,41.406232,2.150280,anticuchos,,+34 600 000 001,M-S 13:00–23:30,Anticuchos de corazón,Barcelona,
La Chifa de Barrio Sucursal 3,Sants-Montjuïc,Carrer de Sants 230 bis 3,€,41.374924,2.137011,chifa,,+34 600 000 002,L-V 12:30–16:00,Arroz chaufa,Barcelona,
Criolla y Ají Sucursal 3,Sant Martí,Av. Diagonal 245 bis 3,€€,41.408532,2.193010,criolla,,+34 600 000 003,L-D 12:00–22:30,Ají de gallina,Barcelona,
Nikkei Bcn Sucursal 3,Eixample,Roger de Llúria 12 bis 3,€€€,41.391706,2.165019,nikkei,,+34 600 000 004,M-D 13:00–23:00,Rolls nikkei,Barcelona,
El Rincón Peruano Sucursal 3,Ciutat Vella,Carrer d'Avinyó 35 bis 3,€,41.381754,2.172995,menu-del-dia,,+34 600 000 005,L-S 12:00–22:00,Lomo saltado,Barcelona,
Parrilla Inka Sucursal 3,Sants-Montjuïc,Gran Via 180 bis 3,€€,41.371850,2.151389,parrilla,,+34 600 000 006,V-D 13:00–23:45,Costillas a la brasa,Barcelona,
Causa & Sabor Sucursal 3,Gràcia,Carrer de l'Or 15 bis 3,€,41.407344,2.162211,postres,,+34 600 000 007,L-D 12:00–21:30,Causa limeña,Barcelona,
Picantería Andina Sucursal 3,Sant Martí,Carrer de Llull 200 bis 3,€€,41.403833,2.204825,picante,,+34 600 000 008,M-D 12:30–22:30,Rocoto relleno,Barcelona,
Dulce Perú Sucursal 3,Eixample,Carrer de Mallorca 290 bis 3,€,41.389938,2.166289,postres,,+34 600 000 009,S-D 16:00–22:00,Suspiro a la limeña,Barcelona,
Ceviche Bar BCN Sucursal 3,Ciutat Vella,Plaça Reial 3 bis 3,€€,41.380155,2.175964,ceviche,,+34 600 000 010,L-D 12:00–23:00,Ceviche mixto,Barcelona,
Andes Veg Sucursal 3,Gràcia,Carrer de Rabassa 21 bis 3,€,41.406637,2.163724,veg-friendly,,+34 600 000 011,L-V 12:00–16:00,Quinua salteada,Barcelona,
Cevichería Lima Sucursal 4,Eixample,Carrer de Provença 123 bis 4,€€,41.392731,2.165959,ceviche,https://ejemplo.com,+34 600 000 000,L-D 12:00–23:00,Ceviche clásico,Barcelona,
Anticuchos Don Paco Sucursal 4,Gràcia,Carrer Verdi 88 bis 4,€€,41.408520,2.151605,anticuchos,,+34 600 000 001,M-S 13:00–23:30,Anticuchos de corazón,Barcelona,
La Chifa de Barrio Sucursal 4,Sants-Montjuïc,Carrer de Sants 230 bis 4,€,41.370327,2.133430,chifa,,+34 600 000 002,L-V 12:30–16:00,Arroz chaufa,Barcelona,
Criolla y Ají Sucursal 4,Sant Martí,Av. Diagonal 245 bis 4,€€,41.406015,2.192063,criolla,,+34 600 000 003,L-D 12:00–22:30,Ají de gallina,Barcelona,
Nikkei Bcn Sucursal 4,Eixample,Roger de Llúria 12 bis 4,€€€,41.393076,2.165379,nikkei,,+34 600 000 004,M-D 13:00–23:00,Rolls nikkei,Barcelona,
El Rincón Peruano Sucursal 4,Ciutat Vella,Carrer d'Avinyó 35 bis 4,€,41.382234,2.172930,menu-del-dia,,+34 600 000 005,L-S 12:00–22:00,Lomo saltado,Barcelona,
Parrilla Inka Sucursal 4,Sants-Montjuïc,Gran Via 180 bis 4,€€,41.376197,2.156977,parrilla,,+34 600 000 006,V-D 13:00–23:45,Costillas a la brasa,Barcelona,
Causa & Sabor Sucursal 4,Gràcia,Carrer de l'Or 15 bis 4,€,41.401132,2.156167,postres,,+34 600 000 007,L-D 12:00–21:30,Causa limeña,Barcelona,
Picantería Andina Sucursal 4,Sant Martí,Carrer de Llull 200 bis 4,€€,41.406264,2.207483,picante,,+34 600 000 008,M-D 12:30–22:30,Rocoto relleno,Barcelona,
Dulce Perú Sucursal 4,Eixample,Carrer de Mallorca 290 bis 4,€,41.388622,2.164765,postres,,+34 600 000 009,S-D 16:00–22:00,Suspiro a la limeña,Barcelona,
Ceviche Bar BCN Sucursal 4,Ciutat Vella,Plaça Reial 3 bis 4,€€,41.380462,2.173444,ceviche,,+34 600 000 010,L-D 12:00–23:00,Ceviche mixto,Barcelona,
Andes Veg Sucursal 4,Gràcia,Carrer de Rabassa 21 bis 4,€,41.405886,2.162936,veg-friendly,,+34 600 000 011,L-V 12:00–16:00,Quinua salteada,Barcelona,
Cevichería Lima Sucursal 5,Eixample,Carrer de Provença 123 bis 5,€€,41.394027,2.165385,ceviche,https://ejemplo.com,+34 600 000 000,L-D 12:00–23:00,Ceviche clásico,Barcelona,
Anticuchos Don Paco Sucursal 5,Gràcia,Carrer Verdi 88 bis 5,€€,41.406237,2.148001,anticuchos,,+34 600 000 001,M-S 13:00–23:30,Anticuchos de corazón,Barcelona,
La Chifa de Barrio Sucursal 5,Sants-Montjuïc,Carrer de Sants 230 bis 5,€,41.374592,2.137865,chifa,,+34 600 000 002,L-V 12:30–16:00,Arroz chaufa,Barcelona,
Criolla y Ají Sucursal 5,Sant Martí,Av. Diagonal 245 bis 5,€€,41.409816,2.198203,criolla,,+34 600 000 003,L-D 12:00–22:30,Ají de gallina,Barcelona,
Nikkei Bcn Sucursal 5,Eixample,Roger de Llúria 12 bis 5,€€€,41.394857,2.170654,nikkei,,+34 600 000 004,M-D 13:00–23:00,Rolls nikkei,Barcelona,
El Rincón Peruano Sucursal 5,Ciutat Vella,Carrer d'Avinyó 35 bis 5,€,41.380895,2.177781,menu-del-dia,,+34 600 000 005,L-S 12:00–22:00,Lomo saltado,Barcelona,
Parrilla Inka Sucursal 5,Sants-Montjuïc,Gran Via 180 bis 5,€€,41.374859,2.154431,parrilla,,+34 600 000 006,V-D 13:00–23:45,Costillas a la brasa,Barcelona,
Causa & Sabor Sucursal 5,Gràcia,Carrer de l'Or 15 bis 5,€,41.404510,2.160823,postres,,+34 600 000 007,L-D 12:00–21:30,Causa limeña,Barcelona,
Picantería Andina Sucursal 5,Sant Martí,Carrer de Llull 200 bis 5,€€,41.407957,2.206098,picante,,+34 600 000 008,M-D 12:30–22:30,Rocoto relleno,Barcelona,
Dulce Perú Sucursal 5,Eixample,Carrer de Mallorca 290 bis 5,€,41.390845,2.165110,postres,,+34 600 000 009,S-D 16:00–22:00,Suspiro a la limeña,Barcelona,
Ceviche Bar BCN Sucursal 5,Ciutat Vella,Plaça Reial 3 bis 5,€€,41.380259,2.174608,ceviche,,+34 600 000 010,L-D 12:00–23:00,Ceviche mixto,Barcelona,
Andes Veg Sucursal 5,Gràcia,Carrer de Rabassa 21 bis 5,€,41.401085,2.158682,veg-friendly,,+34 600 000 011,L-V 12:00–16:00,Quinua salteada,Barcelona,
Cevichería Lima Sucursal 6,Eixample,Carrer de Provença 123 bis 6,€€,41.388689,2.160649,ceviche,https://ejemplo.com,+34 600 000 000,L-D 12:00–23:00,Ceviche clásico,Barcelona,
Anticuchos Don Paco Sucursal 6,Gràcia,Carrer Verdi 88 bis 6,€€,41.407637,2.155383,anticuchos,,+34 600 000 001,M-S 13:00–23:30,Anticuchos de corazón,Barcelona,
La Chifa de Barrio Sucursal 6,Sants-Montjuïc,Carrer de Sants 230 bis 6,€,41.373126,2.136694,chifa,,+34 600 000 002,L-V 12:30–16:00,Arroz chaufa,Barcelona,
Criolla y Ají Sucursal 6,Sant Martí,Av. Diagonal 245 bis 6,€€,41.406205,2.196927,criolla,,+34 600 000 003,L-D 12:00–22:30,Ají de gallina,Barcelona,
Nikkei Bcn Sucursal 6,Eixample,Roger de Llúria 12 bis 6,€€€,41.395956,2.167276,nikkei,,+34 600 000 004,M-D 13:00–23:00,Rolls nikkei,Barcelona,
El Rincón Peruano Sucursal 6,Ciutat Vella,Carrer d'Avinyó 35 bis 6,€,41.379236,2.175616,menu-del-dia,,+34 600 000 005,L-S 12:00–22:00,Lomo saltado,Barcelona,
Parrilla Inka Sucursal 6,Sants-Montjuïc,Gran Via 180 bis 6,€€,41.369785,2.155937,parrilla,,+34 600 000 006,V-D 13:00–23:45,Costillas a la brasa,Barcelona,
Causa & Sabor Sucursal 6,Gràcia,Carrer de l'Or 15 bis 6,€,41.402994,2.157060,postres,,+34 600 000 007,L-D 12:00–21:30,Causa limeña,Barcelona,
Picantería Andina Sucursal 6,Sant Martí,Carrer de Llull 200 bis 6,€€,41.404775,2.201727,picante,,+34 600 000 008,M-D 12:30–22:30,Rocoto relleno,Barcelona,
